Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
05/01/2025 12:59,05/01/2025 13:03,XAUUSD,Buy,1.820,0.00000,0.00000,3216.20000,3219.26000,-9.1000,0.0000,306.0,483.00,1.12,00:00:04:09,,,,,,,,,,,,
05/01/2025 12:58,05/01/2025 13:03,XAUUSD,Buy,1.820,0.00000,0.00000,3218.39000,3219.26000,-9.1000,0.0000,87.0,130.81,0.31,00:00:05:09,,,,,,,,,,,,
05/01/2025 12:57,05/01/2025 13:03,XAUUSD,Buy,1.820,0.00000,0.00000,3219.65000,3219.26000,-9.1000,0.0000,-39.0,-71.83,-0.17,00:00:06:09,,,,,,,,,,,,
05/01/2025 12:56,05/01/2025 13:03,XAUUSD,Buy,1.820,0.00000,0.00000,3219.90000,3219.26000,-9.1000,0.0000,-64.0,-112.04,-0.26,00:00:07:09,,,,,,,,,,,,
04/28/2025 17:41,04/28/2025 17:41,XAUUSD,Sell,1.820,0.00000,0.00000,3330.14000,3327.10000,-9.1000,0.0000,304.0,475.77,1.12,00:00:00:20,,,,,,,,,,,,
04/28/2025 17:40,04/28/2025 17:41,XAUUSD,Sell,1.820,0.00000,0.00000,3327.07000,3327.11000,-9.1000,0.0000,-4.0,-15.48,-0.04,00:00:01:20,,,,,,,,,,,,
04/28/2025 17:39,04/28/2025 17:41,XAUUSD,Sell,1.820,0.00000,0.00000,3325.69000,3327.14000,-9.1000,0.0000,-145.0,-240.41,-0.56,00:00:02:20,,,,,,,,,,,,
04/28/2025 17:26,04/28/2025 17:28,XAUUSD,Sell,1.820,3313.77000,0.00000,3315.10000,3313.98000,-9.1000,0.0000,112.0,170.13,0.40,00:00:02:04,,,,,,,,,,,,
04/24/2025 03:32,04/24/2025 03:32,XAUUSD,Sell,1.820,0.00000,0.00000,3336.64000,3334.06000,-9.1000,0.0000,258.0,405.02,0.96,00:00:00:11,,,,,,,,,,,,
04/16/2025 01:57,04/16/2025 01:58,XAUUSD,Sell,1.820,0.00000,0.00000,3242.07000,3240.78000,-9.1000,0.0000,129.0,198.77,0.47,00:00:01:25,,,,,,,,,,,,
04/16/2025 01:54,04/16/2025 01:58,XAUUSD,Sell,1.820,0.00000,0.00000,3241.77000,3240.70000,-9.1000,0.0000,107.0,163.32,0.39,00:00:04:25,,,,,,,,,,,,
04/16/2025 01:53,04/16/2025 01:58,XAUUSD,Sell,1.820,0.00000,0.00000,3240.92000,3240.70000,-9.1000,0.0000,22.0,26.35,0.06,00:00:05:25,,,,,,,,,,,,
04/14/2025 04:44,04/14/2025 04:46,XAUUSD,Sell,1.820,0.00000,0.00000,3240.26000,3239.11000,-9.1000,0.0000,115.0,174.61,0.42,00:00:02:34,,,,,,,,,,,,
04/14/2025 04:45,04/14/2025 04:46,XAUUSD,Sell,1.820,0.00000,0.00000,3240.73000,3239.08000,-9.1000,0.0000,165.0,254.48,0.61,00:00:01:33,,,,,,,,,,,,
